아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일
더샵송도마리나베이,송도동,84.4546,"60,000",2020,23,2024,3,1
송도더샵퍼스트파크F14BL,송도동,59.89,"74,500",2017,13,2024,3,16
대동,동춘동,84.585,"33,800",1994,1,2024,3,16
송도풍림아이원1단지,송도동,84.7167,"52,000",2005,1,2024,3,12
삼성,옥련동,84.97,"32,500",1996,16,2024,3,16
송도풍림아이원2단지,송도동,84.94,"58,000",2005,14,2024,3,5
성지리벨루스,송도동,134.507,"80,000",2006,15,2024,3,18
동남,연수동,104.88,"41,000",1994,14,2024,3,1
풍림2,동춘동,84.22,"40,000",1993,7,2024,3,19
송도글로벌파크베르디움,송도동,74.9307,"72,200",2017,4,2024,3,13
태경,연수동,84.945,"26,750",1992,3,2024,3,20
풍림,옥련동,44.4,"18,600",1998,7,2024,3,7
무지개마을,동춘동,59.76,"29,000",1995,9,2024,3,15
송도오션파크베르디움,송도동,84.847,"60,000",2020,22,2024,3,14
럭키송도,옥련동,68.61,"26,000",1993,17,2024,3,12
서해,옥련동,84.855,"27,500",1995,9,2024,3,12
롯데캐슬캠퍼스타운,송도동,84.578,"84,000",2016,49,2024,3,19
자이(xi),동춘동,95.55,"35,500",1993,15,2024,3,9
연수대우.삼환,동춘동,90.18,"43,700",1994,5,2024,3,19
주공3,연수동,44.66,"16,500",1993,3,2024,3,11
송도파크자이,동춘동,84.8904,"53,500",2019,14,2024,3,14
힐스테이트레이크송도1차,송도동,84.93,"72,000",2019,26,2024,3,16
주공3,연수동,44.66,"17,000",1993,15,2024,3,16
시대,청학동,49.585,"25,000",1994,11,2024,3,8
글로벌캠퍼스푸르지오,송도동,101.98,"75,000",2013,19,2024,3,8
더샵송도마리나베이,송도동,84.9766,"64,800",2020,1,2024,3,13
인천연수서해그랑블3단지,동춘동,59.6183,"37,000",2019,12,2024,3,16
힐스테이트레이크송도1차,송도동,84.92,"72,000",2019,32,2024,3,15
힐스테이트레이크송도2차,송도동,84.97,"72,000",2020,17,2024,3,16
송도금호어울림,송도동,84.89,"68,000",2005,10,2024,3,15
우성,옥련동,84.692,"29,000",1996,12,2024,3,13
풍림2,동춘동,84.22,"39,700",1993,8,2024,3,16
송도더샵그린워크3차(18-1블럭),송도동,84.72,"80,700",2015,8,2024,3,8
연수서해그랑블1단지,동춘동,70.77,"44,400",2017,11,2024,3,16
송도글로벌파크베르디움,송도동,74.9533,"70,000",2017,1,2024,3,16
랜드마크시티센트럴더샵,송도동,84.9999,"69,000",2020,42,2024,3,5
더샵엑스포6단지,송도동,146.7045,"106,000",2009,3,2024,3,8
송도웰카운티4단지,송도동,134.88,"115,000",2010,23,2024,3,2
송도웰카운티3단지,송도동,101.53,"83,300",2010,17,2024,3,7
연수주공2차,연수동,49.94,"17,000",1992,1,2024,3,7
힐스테이트레이크송도1차,송도동,84.97,"69,000",2019,17,2024,3,9
태평,옥련동,115.275,"35,500",1997,10,2024,3,11
럭키송도,옥련동,84.765,"31,250",1993,6,2024,3,8
연수대우.삼환,동춘동,102,"47,100",1994,7,2024,3,9
"연수타운(금호,동아)",동춘동,101.97,"43,500",1993,16,2024,3,12
연수주공2차,연수동,49.94,"20,000",1992,2,2024,3,8
송도웰카운티1단지,송도동,101.99,"76,300",2008,6,2024,3,2
글로벌캠퍼스푸르지오,송도동,115.98,"88,000",2013,23,2024,3,17
송도더샵그린애비뉴7단지,송도동,112.1643,"100,000",2012,2,2024,3,5
더샵그린스퀘어,송도동,84.8669,"78,000",2014,32,2024,3,4
송도더샵마스터뷰22BL,송도동,72.59,"70,800",2015,14,2024,3,12
해마루,옥련동,84.95,"20,800",2008,3,2024,3,7
송도웰카운티2단지,송도동,101.99,"74,300",2007,7,2024,3,4
송도파크자이,동춘동,84.9246,"53,000",2019,26,2024,3,3
우성2,연수동,40.5,"21,500",1994,16,2024,3,7
더샵퍼스트월드,송도동,94.284,"91,000",2009,3,2024,3,16
글로벌캠퍼스푸르지오,송도동,115.98,"85,000",2013,17,2024,3,16
더샵송도마리나베이,송도동,84.4546,"69,500",2020,12,2024,3,1
우주,연수동,84.975,"26,900",1992,4,2024,3,9
아주,동춘동,84.78,"29,500",1994,2,2024,3,8
서해,청학동,84.89,"36,000",1993,5,2024,3,1
대동,선학동,73.36,"22,000",1992,3,2024,3,6
송도더샵센트럴시티,송도동,84.97,"84,500",2018,24,2024,3,16
자이(xi),동춘동,95.55,"32,100",1993,3,2024,3,13
베르디움더퍼스트,송도동,63.9487,"59,500",2017,17,2024,3,9
연수서해그랑블1단지,동춘동,70.77,"45,500",2017,16,2024,3,2
럭키송도,옥련동,134.94,"39,000",1993,9,2024,3,5
대림3,동춘동,53.01,"22,400",1993,3,2024,3,11
송도더샵센트럴시티,송도동,59.97,"60,500",2018,13,2024,3,16
동춘마을,동춘동,59.3,"24,300",1994,5,2024,3,4
송도웰카운티1단지,송도동,101.99,"78,000",2008,3,2024,3,4
랜드마크시티센트럴더샵,송도동,84.9999,"61,500",2020,2,2024,3,12
한양2,동춘동,68.36,"35,500",1994,4,2024,3,6
하나타운1,청학동,59.79,"28,000",1995,13,2024,3,16
송도SKVIEW,송도동,84.6541,"73,500",2019,15,2024,3,7
럭키송도,옥련동,84.765,"30,500",1993,4,2024,3,5
베르디움더퍼스트,송도동,84.9572,"69,500",2017,23,2024,3,9
우성2,연수동,59.59,"35,000",1994,11,2024,3,2
주공3,연수동,44.66,"17,000",1993,5,2024,3,17
우성2,연수동,40.5,"19,900",1994,21,2024,3,17
송도자이하버뷰1단지,송도동,94.477,"77,000",2011,25,2024,3,15
송도글로벌파크베르디움,송도동,63.9721,"69,700",2017,30,2024,3,7
송도더샵센트럴시티,송도동,59.99,"58,600",2018,7,2024,3,15
롯데캐슬캠퍼스타운,송도동,59.8604,"62,500",2016,45,2024,3,2
송도웰카운티2단지,송도동,84.96,"67,500",2007,7,2024,3,8
송도파크레인동일하이빌,동춘동,84.9948,"49,000",2019,19,2024,3,15
송도오션파크베르디움,송도동,84.795,"66,300",2020,33,2024,3,5
송도더샵센트럴시티,송도동,59.99,"58,000",2018,38,2024,3,15
아주1,옥련동,29.7,"13,000",1997,10,2024,3,11
래미안,동춘동,95.76,"32,800",1993,1,2024,3,8
송도푸르지오월드마크1단지,송도동,156.854,"94,500",2010,11,2024,3,7
연수대우.삼환,동춘동,90.18,"42,000",1994,15,2024,3,6
e편한세상송도,송도동,70.2331,"54,700",2018,9,2024,3,2
연수대우.삼환,동춘동,90.18,"39,000",1994,19,2024,3,7
연수서해그랑블1단지,동춘동,70.75,"43,500",2017,5,2024,3,13
더샵송도마리나베이,송도동,84.9738,"70,900",2020,14,2024,3,2
송도파크자이,동춘동,76.7563,"47,300",2019,1,2024,3,4
송도풍림아이원2단지,송도동,84.94,"62,900",2005,14,2024,3,7
쌍용,옥련동,59.78,"24,600",1998,2,2024,3,13
우성2,연수동,40.5,"20,800",1994,3,2024,3,11
송도아메리칸타운아이파크,송도동,101.6035,"103,800",2018,5,2024,3,9
인천연수서해그랑블3단지,동춘동,59.9628,"38,000",2019,11,2024,3,13
송도풍림아이원1단지,송도동,84.7167,"55,000",2005,11,2024,3,12
풍림,옥련동,44.4,"15,200",1998,1,2024,3,9
송도더샵센트럴시티,송도동,59.97,"62,700",2018,20,2024,3,8
현대1,동춘동,84.97,"44,500",1993,2,2024,3,9
송도캐슬&해모로,송도동,84.4433,"59,300",2013,19,2024,3,2
대우3,동춘동,134.1225,"48,000",1993,1,2024,3,8
우성2,연수동,40.5,"19,500",1994,22,2024,3,5
연수서해그랑블1단지,동춘동,84.98,"50,800",2017,22,2024,3,11
송도오션파크베르디움,송도동,84.795,"66,800",2020,26,2024,3,11
송도아메리칸타운아이파크,송도동,64.168,"66,000",2018,39,2024,3,8
롯데,동춘동,99.91,"38,000",1993,1,2024,3,1
송도센트럴파크푸르지오,송도동,84.9841,"112,000",2015,22,2024,3,5
풍림2,동춘동,84.22,"40,700",1993,8,2024,3,10
더샵그린스퀘어,송도동,98.2428,"78,000",2014,11,2024,3,2
풍림3,동춘동,84.3,"35,500",1993,2,2024,3,2
풍림,옥련동,77,"32,100",1998,13,2024,3,4
동남,청학동,40.71,"13,500",1988,2,2024,3,6
대동,연수동,75.12,"35,000",1993,7,2024,3,2
현대1,동춘동,84.97,"47,000",1993,8,2024,3,12
송도글로벌파크베르디움,송도동,74.9307,"77,000",2017,27,2024,3,9
아주1,옥련동,29.7,"14,350",1997,7,2024,3,6
베르디움더퍼스트,송도동,63.9487,"59,500",2017,13,2024,3,1
송도웰카운티1단지,송도동,101.99,"77,000",2008,7,2024,3,6
시대,청학동,49.585,"23,000",1994,12,2024,3,4
대동,동춘동,84.585,"33,000",1994,4,2024,3,9
한양1,동춘동,101.9,"41,700",1994,19,2024,3,5
뉴서울,선학동,84.53,"31,500",1992,18,2024,3,2
태경,연수동,84.945,"25,000",1992,3,2024,3,12
송도더샵센트럴시티,송도동,72.99,"74,000",2018,25,2024,3,12
송도더샵센트럴시티,송도동,59.97,"59,900",2018,9,2024,3,12
풍림,옥련동,44.4,"17,000",1998,11,2024,3,2
현대2차아파트,옥련동,84.6,"31,000",1995,1,2024,3,7
더샵송도마리나베이,송도동,84.9738,"64,000",2020,1,2024,3,1
송도푸르지오월드마크2단지,송도동,137.547,"77,000",2010,9,2024,3,2
송도더샵마스터뷰21BL,송도동,72.59,"68,000",2015,6,2024,3,8
송도풍림아이원1단지,송도동,84.7167,"60,000",2005,20,2024,3,11
한양1,동춘동,101.9,"42,000",1994,17,2024,3,3
솔밭마을아파트,연수동,49.56,"21,000",1993,5,2024,3,2
송도파크레인동일하이빌,동춘동,84.9948,"49,500",2019,11,2024,3,12
경남,연수동,70.28,"31,000",1993,3,2024,3,5
한양2,동춘동,84.97,"30,000",1994,3,2024,3,8
래미안,동춘동,95.76,"38,000",1993,9,2024,3,7
자이(xi),동춘동,95.55,"37,000",1993,5,2024,3,6
연수푸르지오3단지,연수동,133.13,"51,000",2011,18,2024,3,11
송도SKVIEW,송도동,84.9753,"76,700",2019,36,2024,3,11
송도SKVIEW,송도동,84.6932,"71,500",2019,16,2024,3,1
송도웰카운티3단지,송도동,101.53,"87,000",2010,29,2024,3,3
송도더샵퍼스트파크F14BL,송도동,59.89,"68,000",2017,3,2024,3,2
아주,선학동,84.06,"28,500",1992,10,2024,3,9
송도더샵마스터뷰22BL,송도동,72.59,"72,500",2015,19,2024,3,10
한화포레나인천연수,선학동,84.8512,"57,000",2023,13,2024,3,9
베르디움더퍼스트,송도동,63.9487,"59,500",2017,11,2024,3,2
"연수타운(금호,동아)",동춘동,101.97,"43,500",1993,11,2024,3,3
베르디움더퍼스트,송도동,74.5812,"63,800",2017,30,2024,3,1
"승기마을,연수1차시영",연수동,26.82,"11,000",1992,1,2024,3,9
송도오션파크베르디움,송도동,84.9128,"57,000",2020,13,2024,3,8
송도글로벌파크베르디움,송도동,63.9498,"59,500",2017,1,2024,3,8
송도더샵센트럴시티,송도동,72.99,"72,750",2018,36,2024,3,11
송도풍림아이원1단지,송도동,114.7008,"69,000",2005,9,2024,3,2
송도아트윈푸르지오,송도동,84.98,"80,000",2015,28,2024,3,4
"승기마을,연수1차시영",연수동,26.82,"13,000",1992,3,2024,3,5
베르디움더퍼스트,송도동,74.5812,"63,000",2017,28,2024,3,1
한양2,동춘동,84.97,"39,800",1994,4,2024,3,3
우성1,연수동,101.97,"50,000",1994,22,2024,3,2
건영,동춘동,84.945,"35,000",1994,4,2024,3,5
솔밭마을아파트,연수동,49.56,"20,200",1993,11,2024,3,9
시대,청학동,49.585,"23,600",1994,7,2024,3,1
서해그랑블포레스트,동춘동,59.8632,"35,000",2019,3,2024,3,9
풍림2,동춘동,45.36,"25,900",1993,5,2024,3,5
풍림2,동춘동,45.36,"26,900",1993,5,2024,3,5
연수대우.삼환,동춘동,120.72,"49,500",1994,2,2024,3,2
영남송도,옥련동,49.77,"18,000",1984,4,2024,3,7
태평2,동춘동,59.885,"25,000",1995,6,2024,3,2
더샵그린스퀘어,송도동,84.8516,"70,500",2014,2,2024,3,6
송도에듀포레푸르지오,송도동,59.978,"56,500",2016,16,2024,3,8
성호,청학동,84.02,"40,000",1993,10,2024,3,6
건영,동춘동,84.945,"32,200",1994,1,2024,3,7
한양1,동춘동,88.86,"35,500",1994,9,2024,3,6
한양2,동춘동,68.36,"35,400",1994,1,2024,3,7
힐스테이트레이크송도2차,송도동,84.96,"74,000",2020,26,2024,3,1
한양1,동춘동,101.9,"42,000",1994,17,2024,3,3
대림3,동춘동,53.01,"21,500",1993,3,2024,3,7
베르디움더퍼스트,송도동,74.9413,"59,500",2017,2,2024,3,5
더샵그린스퀘어,송도동,84.8669,"76,000",2014,36,2024,3,7
송도글로벌파크베르디움,송도동,74.9533,"74,500",2017,6,2024,3,7
한국,옥련동,59.986,"23,900",1997,4,2024,3,2
한양2,동춘동,84.97,"39,500",1994,5,2024,3,1
한양2,동춘동,68.36,"34,300",1994,5,2024,3,2
솔밭마을아파트,연수동,49.56,"21,000",1993,12,2024,3,6
성일,연수동,39.74,"16,000",1994,4,2024,3,4
한양2,동춘동,68.36,"34,300",1994,5,2024,3,2
베르디움더퍼스트,송도동,84.9572,"67,000",2017,3,2024,3,5
우성2,연수동,59.59,"34,500",1994,14,2024,3,2
대림3,동춘동,53.01,"19,000",1993,5,2024,3,2
대우1,연수동,127.89,"41,000",1992,1,2024,3,4
효정,연수동,84.95,"37,500",1993,10,2024,3,1
동남,동춘동,52.14,"22,000",1994,13,2024,3,6
시대,청학동,35.743,"23,600",1994,7,2024,3,1
연수대우.삼환,동춘동,102,"39,000",1994,5,2024,3,5
송도오션파크베르디움,송도동,75.9833,"60,000",2020,5,2024,3,4
대동,동춘동,75.255,"27,800",1994,6,2024,3,1
현대1,옥련동,71.265,"18,620",1994,9,2024,3,5
롯데캐슬,송도동,110.7602,"81,000",2012,14,2024,3,4
연수서해그랑블1단지,동춘동,70.77,"43,500",2017,10,2024,3,5
동춘마을,동춘동,59.36,"25,400",1994,4,2024,3,1
힐스테이트레이크송도2차,송도동,84.96,"71,500",2020,20,2024,3,2
송도글로벌파크베르디움,송도동,63.9721,"68,000",2017,11,2024,3,2
송도글로벌파크베르디움,송도동,84.9359,"85,800",2017,18,2024,3,2
e편한세상송도,송도동,70.5618,"58,500",2018,30,2024,3,2
송도더샵센트럴시티,송도동,59.99,"59,000",2018,14,2024,3,3
풍림1,연수동,84.96,"36,000",1992,6,2024,3,2
송도아트윈푸르지오,송도동,84.97,"80,000",2015,19,2024,3,2
송도더샵센트럴시티,송도동,59.97,"55,500",2018,2,2024,3,1
랜드마크시티센트럴더샵,송도동,95.8548,"73,000",2020,29,2024,4,4
랜드마크시티센트럴더샵,송도동,95.8548,"73,000",2020,29,2024,4,4
송도더샵마스터뷰21BL,송도동,84.98,"83,000",2015,14,2024,4,15
송도더샵하버뷰(D15),송도동,119.4815,"115,000",2012,6,2024,4,25
더샵송도마리나베이,송도동,74.9894,"63,500",2020,17,2024,4,29
더샵센트럴파크1,송도동,96.318,"78,570",2010,6,2024,4,27
송도아메리칸타운아이파크,송도동,84.4661,"82,000",2018,6,2024,4,12
더샵송도프라임뷰25BL,송도동,107.6,"112,000",2021,8,2024,4,8
대림,동춘동,96.74,"44,000",1993,4,2024,4,6
랜드마크시티센트럴더샵,송도동,95.8548,"72,000",2020,24,2024,4,23
쌍용,옥련동,59.78,"22,800",1998,3,2024,4,30
희영무지개2,선학동,84.98,"33,000",1995,10,2024,4,29
롯데캐슬캠퍼스타운,송도동,59.9715,"60,500",2016,42,2024,4,25
서해그랑블포레스트,동춘동,59.8632,"38,500",2019,8,2024,4,30
송도캐슬&해모로,송도동,84.4433,"60,700",2013,17,2024,4,29
현대1,옥련동,59.4,"20,000",1994,15,2024,4,25
더샵송도마리나베이,송도동,74.9894,"63,500",2020,17,2024,4,29
한화포레나인천연수,선학동,84.7127,"51,000",2023,6,2024,4,29
연수푸르지오3단지,연수동,97.56,"40,000",2011,11,2024,4,12
더샵센트럴파크1,송도동,129.0545,"142,000",2010,26,2024,4,23
e편한세상송도,송도동,70.5618,"44,500",2018,20,2024,4,20
현대4,옥련동,84.6,"33,750",1997,6,2024,4,28
더샵센트럴파크1,송도동,106.9262,"118,000",2010,43,2024,4,22
더샵송도마리나베이,송도동,84.916,"65,000",2020,19,2024,4,28
e편한세상송도,송도동,84.4163,"69,000",2018,15,2024,4,24
송도파크레인동일하이빌,동춘동,84.9044,"57,500",2019,24,2024,4,19
송도풍림아이원4단지,송도동,114.8862,"68,000",2005,9,2024,4,27
금호타운,선학동,84.9,"38,500",1992,11,2024,4,27
연수주공2차,연수동,41.3,"16,250",1992,2,2024,4,22
글로벌캠퍼스푸르지오,송도동,115.98,"85,500",2013,26,2024,4,26
더샵송도마리나베이,송도동,84.7583,"77,500",2020,35,2024,4,27
현대2차아파트,옥련동,59.985,"26,300",1995,14,2024,4,22
더샵센트럴파크2,송도동,105.6861,"92,000",2011,17,2024,4,30
송도더샵마스터뷰22BL,송도동,84.92,"84,800",2015,27,2024,4,24
랜드마크시티센트럴더샵,송도동,84.9999,"66,000",2020,8,2024,4,30
송도파크레인동일하이빌,동춘동,84.9948,"50,000",2019,22,2024,4,24
인천송도힐스테이트4단지,송도동,170.055,"110,000",2011,5,2024,4,26
베르디움더퍼스트,송도동,84.9572,"69,000",2017,4,2024,4,23
송도풍림아이원2단지,송도동,84.94,"52,700",2005,1,2024,4,27
한국,옥련동,59.986,"22,800",1997,15,2024,4,24
송도웰카운티3단지,송도동,118.02,"84,500",2010,18,2024,4,1
한양1,동춘동,101.9,"41,000",1994,11,2024,4,30
유천,연수동,84.87,"33,000",1993,6,2024,4,26
연수주공2차,연수동,49.94,"18,800",1992,12,2024,4,23
송도자이하버뷰1단지,송도동,116.82,"115,000",2011,29,2024,4,22
송도푸르지오월드마크1단지,송도동,137.547,"80,000",2010,9,2024,4,19
연수대우.삼환,동춘동,120.72,"52,700",1994,5,2024,4,25
더샵그린워크2차,송도동,117.8951,"99,000",2014,13,2024,4,25
우성,옥련동,59.929,"24,000",1996,9,2024,4,22
더샵송도마리나베이,송도동,84.9738,"61,000",2020,20,2024,4,25
송도오션파크베르디움,송도동,84.795,"64,850",2020,11,2024,4,29
랜드마크시티센트럴더샵,송도동,84.9999,"65,000",2020,9,2024,4,25
랜드마크시티센트럴더샵,송도동,95.8548,"81,000",2020,32,2024,4,27
경남,연수동,70.28,"31,600",1993,9,2024,4,29
더샵퍼스트월드,송도동,172.553,"162,000",2009,35,2024,4,25
송도풍림아이원1단지,송도동,84.7167,"56,700",2005,13,2024,4,19
송도캐슬&해모로,송도동,84.637,"63,800",2013,24,2024,4,17
롯데캐슬캠퍼스타운,송도동,101.3056,"85,000",2016,25,2024,4,11
연수주공2차,연수동,49.94,"19,200",1992,12,2024,4,24
롯데캐슬캠퍼스타운,송도동,59.9715,"64,500",2016,51,2024,4,12
현대1,옥련동,71.265,"19,500",1994,9,2024,4,28
송도파크레인동일하이빌,동춘동,74.2443,"45,000",2019,12,2024,4,26
아주1,옥련동,29.7,"13,250",1997,4,2024,4,16
e편한세상송도,송도동,70.5618,"57,500",2018,33,2024,4,23
송도파크레인동일하이빌,동춘동,84.9044,"57,500",2019,24,2024,4,19
송도더샵그린워크3차(18-1블럭),송도동,117.39,"124,500",2015,12,2024,4,29
송도에듀포레푸르지오,송도동,84.852,"77,200",2016,38,2024,4,29
세경,연수동,51.75,"19,000",1997,2,2024,4,29
솔밭마을아파트,연수동,49.56,"20,000",1993,6,2024,4,27
더샵그린워크2차,송도동,84.9859,"75,000",2014,24,2024,4,28
롯데캐슬캠퍼스타운,송도동,59.7433,"63,000",2016,37,2024,4,30
쌍용,옥련동,84.98,"40,000",1998,14,2024,4,18
더샵센트럴파크2,송도동,134.8097,"135,000",2011,7,2024,4,16
옥련2우성,옥련동,78.834,"35,300",2002,14,2024,4,15
우성2,연수동,40.5,"22,000",1994,6,2024,4,24
송도자이하버뷰2단지,송도동,84.747,"73,700",2011,2,2024,4,30
송도에듀포레푸르지오,송도동,105.919,"85,000",2016,14,2024,4,23
송도한진해모로,송도동,101.8519,"69,000",2006,17,2024,4,20
더샵퍼스트월드,송도동,94.284,"114,000",2009,17,2024,4,24
송도웰카운티3단지,송도동,84.99,"70,500",2010,18,2024,4,27
인천송도힐스테이트3단지,송도동,131.365,"83,000",2011,17,2024,4,18
송도SKVIEW,송도동,84.6932,"70,400",2019,24,2024,4,22
세경,연수동,51.75,"22,900",1997,15,2024,4,29
인향,연수동,84.975,"25,000",1992,5,2024,4,29
무지개마을,동춘동,84.965,"34,700",1995,12,2024,4,30
송도더샵퍼스트파크F14BL,송도동,108.08,"133,000",2017,13,2024,4,26
시대,청학동,35.743,"17,900",1994,13,2024,4,27
시대,청학동,49.585,"23,500",1994,9,2024,4,27
현대4,옥련동,84.6,"33,000",1997,5,2024,4,23
송도더샵센트럴시티,송도동,59.99,"61,500",2018,38,2024,4,13
송도더샵센트럴시티,송도동,59.99,"59,000",2018,20,2024,4,24
시대,청학동,49.585,"21,800",1994,13,2024,4,23
"승기마을,연수1차시영",연수동,50.67,"19,000",1992,15,2024,4,23
송도금호어울림,송도동,134.58,"74,500",2005,7,2024,4,26
래미안,동춘동,95.76,"37,600",1993,12,2024,4,12
자이(xi),동춘동,95.55,"37,500",1993,8,2024,4,27
자이(xi),동춘동,95.55,"37,500",1993,5,2024,4,17
자이(xi),동춘동,95.55,"37,900",1993,6,2024,4,10
e편한세상송도,송도동,70.2331,"54,000",2018,7,2024,4,20
무지개마을,동춘동,84.965,"36,800",1995,2,2024,4,30
서해그랑블포레스트,동춘동,59.8632,"37,000",2019,7,2024,4,27
힐스테이트레이크송도2차,송도동,84.96,"76,000",2020,22,2024,4,26
풍림2,동춘동,45.36,"24,500",1993,3,2024,4,22
아주,선학동,84.06,"23,800",1992,15,2024,4,28
송도더샵센트럴시티,송도동,59.97,"61,800",2018,4,2024,4,10
송도더샵퍼스트파크F14BL,송도동,68.72,"84,900",2017,20,2024,4,11
더샵퍼스트월드,송도동,147.358,"134,500",2009,49,2024,4,28
송도더샵파크애비뉴,송도동,59.94,"83,500",2018,21,2024,4,9
힐스테이트레이크송도3차,송도동,84.06,"83,500",2023,22,2024,4,23
우성2,연수동,40.5,"18,300",1994,2,2024,4,27
희영무지개2,선학동,59.85,"21,000",1995,6,2024,4,19
대우3,동춘동,99.9595,"35,900",1993,3,2024,4,26
더샵송도프라임뷰20BL,송도동,107.44,"115,000",2022,15,2024,4,29
우성2,연수동,40.5,"19,500",1994,7,2024,4,24
"태산,대진.정광아파트",선학동,84.69,"31,300",1991,2,2024,4,26
송도글로벌파크베르디움,송도동,63.9721,"70,200",2017,15,2024,4,17
세경,연수동,51.75,"19,900",1997,2,2024,4,30
대림,연수동,62.482,"30,500",1993,2,2024,4,27
더샵센트럴파크1,송도동,96.318,"79,000",2010,6,2024,4,27
송도캐슬&해모로,송도동,84.4433,"60,000",2013,14,2024,4,27
송도오션파크베르디움,송도동,84.9128,"64,000",2020,17,2024,4,27
송도풍림아이원2단지,송도동,84.94,"57,000",2005,19,2024,4,25
현대4,옥련동,59.985,"27,000",1997,16,2024,4,27
현대4,옥련동,84.6,"33,000",1997,2,2024,4,19
백산,옥련동,59.76,"17,500",1994,4,2024,4,17
성호,청학동,84.02,"40,000",1993,4,2024,4,25
e편한세상송도,송도동,70.3826,"55,200",2018,19,2024,4,22
송도풍림아이원4단지,송도동,84.7159,"55,000",2005,6,2024,4,8
송도풍림아이원4단지,송도동,84.7159,"54,000",2005,12,2024,4,9
더샵센트럴파크2,송도동,105.6861,"98,000",2011,30,2024,4,11
현대4,옥련동,59.985,"27,000",1997,6,2024,4,19
더샵송도마리나베이,송도동,84.916,"84,500",2020,12,2024,4,29
시대,청학동,35.743,"18,000",1994,10,2024,4,24
연수주공2차,연수동,49.94,"16,200",1992,1,2024,4,25
인천송도힐스테이트6단지,송도동,131.365,"75,000",2011,19,2024,4,30
대동,선학동,84.4,"26,200",1992,2,2024,4,20
대동,선학동,84.4,"30,000",1992,14,2024,4,11
송도캐슬&해모로,송도동,123.5322,"83,000",2013,11,2024,4,6
베르디움더퍼스트,송도동,84.8153,"67,800",2017,26,2024,4,20
더샵센트럴파크2,송도동,146.5057,"212,000",2011,39,2024,4,7
송도더샵하버뷰(D13),송도동,101.067,"99,000",2011,21,2024,4,24
베르디움더퍼스트,송도동,63.9487,"59,800",2017,17,2024,4,30
무지개마을,동춘동,59.76,"31,000",1995,9,2024,4,23
송도더샵센트럴시티,송도동,59.97,"59,000",2018,3,2024,4,23
베르디움더퍼스트,송도동,84.8153,"66,500",2017,12,2024,4,27
베르디움더퍼스트,송도동,74.9413,"65,000",2017,20,2024,4,30
동남,연수동,91.74,"34,000",1994,7,2024,4,20
송도SK뷰센트럴,송도동,84.7854,"81,500",2020,31,2024,4,6
더샵송도마리나베이,송도동,84.916,"63,800",2020,3,2024,4,20
현대,동춘동,101.88,"44,000",1993,11,2024,4,27
현대1,동춘동,84.97,"48,300",1993,2,2024,4,20
성일,연수동,39.74,"16,000",1994,3,2024,4,25
글로벌캠퍼스푸르지오,송도동,101.25,"81,000",2013,25,2024,4,26
송도웰카운티3단지,송도동,118.02,"85,000",2010,20,2024,4,27
태경,연수동,84.945,"26,000",1992,3,2024,4,27
더샵그린워크1차,송도동,84.3408,"75,500",2014,19,2024,4,25
송도SKVIEW,송도동,84.9753,"74,800",2019,12,2024,4,27
더샵송도마리나베이,송도동,84.916,"68,500",2020,4,2024,4,26
송도더샵마스터뷰22BL,송도동,84.92,"83,000",2015,11,2024,4,25
송도더샵퍼스트파크F14BL,송도동,108.08,"137,500",2017,26,2024,4,23
대우3,동춘동,134.025,"48,000",1993,5,2024,4,26
디에트르송도시그니처뷰,송도동,84.9691,"77,000",2023,20,2024,4,29
삼성,옥련동,59.98,"24,300",1996,20,2024,4,23
무지개마을,동춘동,84.965,"37,000",1995,4,2024,4,19
무지개마을,동춘동,59.76,"30,300",1995,11,2024,4,20
송도더샵센트럴시티,송도동,59.97,"64,000",2018,31,2024,4,30
럭키송도,옥련동,84.765,"31,500",1993,10,2024,4,27
더샵송도마리나베이,송도동,84.202,"69,500",2020,18,2024,4,18
풍림2,동춘동,45.36,"23,500",1993,1,2024,4,22
우성2,연수동,59.59,"31,200",1994,1,2024,4,29
송도더샵하버뷰(D13),송도동,101.067,"99,000",2011,21,2024,4,24
송도자이하버뷰2단지,송도동,95.393,"83,000",2011,23,2024,4,27
송도더샵센트럴시티,송도동,59.99,"62,000",2018,40,2024,4,27
대동,선학동,84.4,"30,000",1992,14,2024,4,11
아주,선학동,84.06,"28,000",1992,10,2024,4,11
랜드마크시티센트럴더샵,송도동,84.9999,"66,500",2020,11,2024,4,24
아주,선학동,84.06,"26,700",1992,8,2024,4,11
송도웰카운티3단지,송도동,76.24,"72,500",2010,17,2024,4,17
연수서해그랑블5단지,동춘동,53.5854,"27,730",2019,6,2024,4,24
송도아메리칸타운아이파크,송도동,72.517,"72,000",2018,19,2024,4,17
"태산,대진.정광아파트",선학동,64.38,"21,800",1991,3,2024,4,16
연수주공2차,연수동,49.94,"18,500",1992,5,2024,4,19
송도동일하이빌파크포레,동춘동,84.9255,"49,300",2019,7,2024,4,28
우성2,연수동,59.59,"35,500",1994,11,2024,4,21
현대4,옥련동,84.6,"33,500",1997,13,2024,4,16
송도웰카운티4단지,송도동,84.87,"73,000",2010,4,2024,4,27
풍림3,동춘동,84.3,"34,000",1993,1,2024,4,24
송도더샵하버뷰(D14),송도동,84.721,"72,500",2011,9,2024,4,23
송도더샵센트럴시티,송도동,59.97,"60,500",2018,10,2024,4,12
