아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일
송도풍림아이원1단지,송도동,84.7167,"61,500",2005,13,2024,1,23
세경,연수동,51.75,"22,300",1997,2,2024,1,23
송도오션파크베르디움,송도동,84.847,"65,000",2020,28,2024,1,26
송도더샵하버뷰(D14),송도동,101.454,"91,000",2011,13,2024,1,15
더샵송도마리나베이,송도동,84.9766,"63,000",2020,18,2024,1,12
더샵송도마리나베이,송도동,84.9766,"63,000",2020,18,2024,1,12
용담마을,청학동,49.305,"21,000",1994,2,2024,1,5
쌍용,옥련동,59.78,"25,000",1998,3,2024,1,19
송도풍림아이원2단지,송도동,84.94,"56,500",2005,5,2024,1,31
송도캐슬&해모로,송도동,139.0185,"79,000",2013,5,2024,1,25
뉴서울,선학동,84.53,"34,000",1992,16,2024,1,19
송도아메리칸타운아이파크,송도동,72.517,"69,000",2018,15,2024,1,19
래미안,동춘동,95.76,"38,000",1993,9,2024,1,31
현대1,동춘동,84.97,"45,500",1993,7,2024,1,30
송도코오롱더프라우2단지,송도동,134.818,"66,000",2009,10,2024,1,31
연수서해그랑블1단지,동춘동,70.77,"41,500",2017,9,2024,1,25
더샵그린스퀘어,송도동,115.7688,"104,500",2014,28,2024,1,31
대동,선학동,84.4,"26,500",1992,6,2024,1,11
우성1,연수동,133.623,"50,000",1994,21,2024,1,29
아주1,옥련동,29.7,"15,000",1997,7,2024,1,29
e편한세상송도,송도동,84.2538,"65,000",2018,32,2024,1,4
대동,연수동,75.12,"34,500",1993,3,2024,1,19
e편한세상송도,송도동,70.5618,"54,500",2018,11,2024,1,20
서해,옥련동,59.885,"20,500",1995,1,2024,1,24
서해,옥련동,59.885,"23,800",1995,14,2024,1,14
대림3,동춘동,53.01,"19,200",1993,4,2024,1,17
한국,옥련동,59.986,"25,500",1997,14,2024,1,23
더샵센트럴파크2,송도동,101.9456,"93,000",2011,19,2024,1,12
베르디움더퍼스트,송도동,113.8722,"84,500",2017,12,2024,1,4
현대1,동춘동,84.97,"41,500",1993,1,2024,1,19
삼용,청학동,84.96,"39,000",1994,7,2024,1,20
랜드마크시티센트럴더샵,송도동,95.8548,"79,000",2020,35,2024,1,19
"연수타운(금호,동아)",동춘동,101.97,"44,399",1993,15,2024,1,10
아이파크송도,송도동,101.617,"70,500",2005,8,2024,1,22
랜드마크시티센트럴더샵,송도동,84.9999,"65,500",2020,20,2024,1,12
해모로월드뷰,송도동,113.9066,"88,000",2012,22,2024,1,11
송도더샵퍼스트파크F15BL,송도동,95.87,"121,500",2017,38,2024,1,20
한양1,동춘동,101.9,"40,000",1994,4,2024,1,23
송도웰카운티1단지,송도동,149.59,"90,000",2008,3,2024,1,8
문남마을,연수동,49.24,"21,250",1994,4,2024,1,27
랜드마크시티센트럴더샵,송도동,84.8166,"67,000",2020,44,2024,1,24
힐스테이트레이크송도2차,송도동,84.96,"65,000",2020,17,2024,1,31
글로벌캠퍼스푸르지오,송도동,101.98,"80,000",2013,10,2024,1,26
래미안,동춘동,95.76,"37,500",1993,8,2024,1,20
더샵퍼스트월드,송도동,140.52,"115,000",2009,36,2024,1,10
자이(xi),동춘동,95.55,"35,000",1993,2,2024,1,16
송도SKVIEW,송도동,84.6541,"67,000",2019,31,2024,1,8
