아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일,거래금액_숫자,전용면적_숫자,층_숫자,건축년도_숫자,평수,평당가격,건물연령,거래일자
더샵그린워크1차,송도동,84.3408,"71,200",2014,4,2024,2,17,71200.0,84.3408,4,2014,25.513092,2790.7240721743956,10,2024-02-17
랜드마크시티센트럴더샵,송도동,84.9999,"64,000",2020,26,2024,2,8,64000.0,84.9999,26,2020,25.712469749999997,2489.064668710014,4,2024-02-08
풍림1,연수동,84.96,"32,000",1992,3,2024,2,8,32000.0,84.96,3,1992,25.7004,1245.1168075205055,32,2024-02-08
건영,동춘동,84.945,"36,800",1994,2,2024,2,18,36800.0,84.945,2,1994,25.695862499999997,1432.13717772657,30,2024-02-18
송도웰카운티3단지,송도동,84.91,"70,000",2010,7,2024,2,23,70000.0,84.91,7,2010,25.685274999999997,2725.2968870296313,14,2024-02-23
서해,옥련동,59.885,"22,000",1995,4,2024,2,9,22000.0,59.885,4,1995,18.1152125,1214.448905857439,29,2024-02-09
현대1,옥련동,84.6,"27,500",1994,16,2024,2,24,27500.0,84.6,16,1994,25.591499999999996,1074.5755426606493,30,2024-02-24
더샵송도마리나베이,송도동,74.8994,"64,750",2020,25,2024,2,4,64750.0,74.8994,25,2020,22.657068499999998,2857.8277900338257,4,2024-02-04
송도더샵마스터뷰22BL,송도동,84.92,"83,800",2015,18,2024,2,25,83800.0,84.92,18,2015,25.688299999999998,3262.185508577835,9,2024-02-25
송도오션파크베르디움,송도동,84.9128,"63,500",2020,14,2024,2,27,63500.0,84.9128,14,2020,25.686122,2472.1520827472514,4,2024-02-27
"승기마을,연수1차시영",연수동,26.82,"11,500",1992,1,2024,2,16,11500.0,26.82,1,1992,8.11305,1417.4693857427233,32,2024-02-16
베르디움더퍼스트,송도동,74.5812,"63,000",2017,18,2024,2,24,63000.0,74.5812,18,2017,22.560813,2792.4525592229325,7,2024-02-24
송도더샵센트럴시티,송도동,59.97,"62,000",2018,17,2024,2,17,62000.0,59.97,17,2018,18.140925,3417.6868048349243,6,2024-02-17
호반써밋송도,송도동,101.9864,"65,000",2023,39,2024,2,14,65000.0,101.9864,39,2023,30.850886,2106.9086962364713,1,2024-02-14
글로벌캠퍼스푸르지오,송도동,101.99,"79,000",2013,23,2024,2,23,79000.0,101.99,23,2013,30.851974999999996,2560.6140287615303,11,2024-02-23
송도더샵하버뷰(D14),송도동,101.965,"97,000",2011,11,2024,2,6,97000.0,101.965,11,2011,30.8444125,3144.8159370842286,13,2024-02-06
더샵퍼스트월드,송도동,147.358,"107,000",2009,8,2024,2,3,107000.0,147.358,8,2009,44.575795,2400.4058704954114,15,2024-02-03
글로벌캠퍼스푸르지오,송도동,101.99,"85,000",2013,44,2024,2,28,85000.0,101.99,44,2013,30.851974999999996,2755.091043604178,11,2024-02-28
랜드마크시티센트럴더샵,송도동,84.9999,"69,400",2020,10,2024,2,27,69400.0,84.9999,10,2020,25.712469749999997,2699.0795001324213,4,2024-02-27
송도센트럴파크푸르지오,송도동,96.934,"120,000",2015,29,2024,2,26,120000.0,96.934,29,2015,29.322535,4092.41561140604,9,2024-02-26
e편한세상송도,송도동,70.3826,"50,000",2018,5,2024,2,15,50000.0,70.3826,5,2018,21.290736499999998,2348.439190912912,6,2024-02-15
랜드마크시티센트럴더샵,송도동,84.9999,"66,500",2020,29,2024,2,3,66500.0,84.9999,29,2020,25.712469749999997,2586.293757331499,4,2024-02-03
송도더샵하버뷰(D14),송도동,101.454,"91,000",2011,14,2024,2,17,91000.0,101.454,14,2011,30.689835,2965.1511648726687,13,2024-02-17
더샵퍼스트월드,송도동,116.125,"84,000",2009,16,2024,2,17,84000.0,116.125,16,2009,35.1278125,2391.267603127864,15,2024-02-17
송도더샵그린워크3차(18-1블럭),송도동,84.73,"83,000",2015,21,2024,2,15,83000.0,84.73,21,2015,25.630825,3238.2882720318207,9,2024-02-15
한양1,동춘동,88.86,"36,000",1994,15,2024,2,21,36000.0,88.86,15,1994,26.88015,1339.2782406348178,30,2024-02-21
힐스테이트레이크송도1차,송도동,84.92,"74,000",2019,20,2024,2,17,74000.0,84.92,20,2019,25.688299999999998,2880.688873923148,5,2024-02-17
더샵센트럴파크1,송도동,106.9262,"110,000",2010,18,2024,2,13,110000.0,106.9262,18,2010,32.345175499999996,3400.816297935994,14,2024-02-13
e편한세상송도,송도동,70.5618,"58,000",2018,30,2024,2,17,58000.0,70.5618,30,2018,21.3449445,2717.271061538717,6,2024-02-17
삼용,청학동,84.96,"42,000",1994,12,2024,2,15,42000.0,84.96,12,1994,25.7004,1634.2158098706636,30,2024-02-15
대림3,동춘동,53.01,"19,500",1993,1,2024,2,16,19500.0,53.01,1,1993,16.035525,1216.049989008779,31,2024-02-16
동남,동춘동,52.14,"23,400",1994,9,2024,2,26,23400.0,52.14,9,1994,15.77235,1483.6089739322294,30,2024-02-26
송도더샵파크애비뉴,송도동,59.94,"84,900",2018,33,2024,2,26,84900.0,59.94,33,2018,18.13185,4682.368318731955,6,2024-02-26
건영,동춘동,84.945,"36,800",1994,2,2024,2,18,36800.0,84.945,2,1994,25.695862499999997,1432.13717772657,30,2024-02-18
송도더샵파크애비뉴,송도동,59.94,"83,000",2018,37,2024,2,19,83000.0,59.94,37,2018,18.13185,4577.580335156093,6,2024-02-19
럭키송도,옥련동,84.765,"30,000",1993,9,2024,2,24,30000.0,84.765,9,1993,25.641412499999998,1169.9823478913263,31,2024-02-24
럭키송도,옥련동,84.765,"31,500",1993,16,2024,2,24,31500.0,84.765,16,1993,25.641412499999998,1228.4814652858927,31,2024-02-24
성지리벨루스,송도동,84.586,"49,000",2006,1,2024,2,4,49000.0,84.586,1,2006,25.587265,1915.0151452294726,18,2024-02-04
현대2차아파트,옥련동,59.985,"28,400",1995,19,2024,2,17,28400.0,59.985,19,1995,18.1454625,1565.1295744046204,29,2024-02-17
현대2차아파트,옥련동,59.985,"25,500",1995,15,2024,2,14,25500.0,59.985,15,1995,18.1454625,1405.3100051872473,29,2024-02-14
우성2,연수동,40.5,"22,000",1994,3,2024,2,21,22000.0,40.5,3,1994,12.251249999999999,1795.7351290684626,30,2024-02-21
송도아메리칸타운아이파크,송도동,84.4661,"87,500",2018,22,2024,2,8,87500.0,84.4661,22,2018,25.55099525,3424.524138643875,6,2024-02-08
우성2,연수동,59.59,"36,000",1994,14,2024,2,20,36000.0,59.59,14,1994,18.025975,1997.1180477061575,30,2024-02-20
베르디움더퍼스트,송도동,63.9487,"60,000",2017,21,2024,2,16,60000.0,63.9487,21,2017,19.34448175,3101.659727844609,7,2024-02-16
우성1,연수동,101.97,"45,000",1994,8,2024,2,26,45000.0,101.97,8,1994,30.845924999999998,1458.863691071025,30,2024-02-26
우성2,연수동,84.78,"44,000",1994,18,2024,2,25,44000.0,84.78,18,1994,25.64595,1715.6705054794227,30,2024-02-25
랜드마크시티센트럴더샵,송도동,84.7966,"67,500",2020,37,2024,2,16,67500.0,84.7966,37,2020,25.650971499999997,2631.4792794495133,4,2024-02-16
송도금호어울림,송도동,84.89,"59,500",2005,9,2024,2,24,59500.0,84.89,9,2005,25.679225,2317.048119637567,19,2024-02-24
더샵송도마리나베이,송도동,84.916,"87,000",2020,15,2024,2,14,87000.0,84.916,15,2020,25.687089999999998,3386.915372663856,4,2024-02-14
동남,청학동,39.42,"13,100",1988,4,2024,2,16,13100.0,39.42,4,1988,11.92455,1098.573950379679,36,2024-02-16
e편한세상송도,송도동,70.5618,"55,500",2018,8,2024,2,24,55500.0,70.5618,8,2018,21.3449445,2600.1473088861862,6,2024-02-24
시대,청학동,49.585,"21,600",1994,7,2024,2,18,21600.0,49.585,7,1994,14.9994625,1440.0516018490662,30,2024-02-18
삼성,옥련동,84.97,"28,900",1996,2,2024,2,6,28900.0,84.97,2,1996,25.703425,1124.363776422792,28,2024-02-06
송도풍림아이원2단지,송도동,84.94,"52,800",2005,2,2024,2,15,52800.0,84.94,2,2005,25.69435,2054.926472162168,19,2024-02-15
송도더샵그린워크3차(18-1블럭),송도동,84.73,"82,000",2015,31,2024,2,16,82000.0,84.73,31,2015,25.630825,3199.2727506820397,9,2024-02-16
송도글로벌파크베르디움,송도동,63.9721,"67,500",2017,29,2024,2,18,67500.0,63.9721,29,2017,19.35156025,3488.0908375333715,7,2024-02-18
송도풍림아이원2단지,송도동,84.94,"62,000",2005,15,2024,2,3,62000.0,84.94,15,2005,25.69435,2412.9818423116367,19,2024-02-03
송도오션파크베르디움,송도동,75.9833,"59,000",2020,23,2024,2,8,59000.0,75.9833,23,2020,22.98494825,2566.897230234138,4,2024-02-08
랜드마크시티센트럴더샵,송도동,84.9999,"65,000",2020,6,2024,2,9,65000.0,84.9999,6,2020,25.712469749999997,2527.956304158608,4,2024-02-09
풍림2,동춘동,45.36,"26,000",1993,1,2024,2,22,26000.0,45.36,1,1993,13.7214,1894.8503796988646,31,2024-02-22
더샵그린스퀘어,송도동,84.8669,"75,500",2014,23,2024,2,8,75500.0,84.8669,23,2014,25.67223725,2940.9201568515423,10,2024-02-08
e편한세상송도,송도동,70.2331,"54,000",2018,11,2024,2,5,54000.0,70.2331,11,2018,21.245512749999996,2541.7131907065886,6,2024-02-05
조흥,동춘동,97.68,"34,200",1997,4,2024,2,5,34200.0,97.68,4,1997,29.5482,1157.4309094970251,27,2024-02-05
백산2,옥련동,59.98,"20,000",1997,1,2024,2,14,20000.0,59.98,1,1997,18.14395,1102.2958065911778,27,2024-02-14
아주,선학동,84.06,"28,800",1992,13,2024,2,5,28800.0,84.06,13,1992,25.42815,1132.6030403312864,32,2024-02-05
송도캐슬&해모로,송도동,84.4433,"61,000",2013,12,2024,2,9,61000.0,84.4433,12,2013,25.544098249999998,2388.0271443913666,11,2024-02-09
송도한진해모로,송도동,84.9574,"55,000",2006,1,2024,2,7,55000.0,84.9574,1,2006,25.6996135,2140.110005934525,18,2024-02-07
힐스테이트레이크송도2차,송도동,84.96,"66,000",2020,2,2024,2,6,66000.0,84.96,2,2020,25.7004,2568.0534155110427,4,2024-02-06
세경,연수동,36.27,"15,000",1997,8,2024,2,19,15000.0,36.27,8,1997,10.971675000000001,1367.1567923767336,27,2024-02-19
송도더샵센트럴시티,송도동,84.97,"83,700",2018,40,2024,2,20,83700.0,84.97,40,2018,25.703425,3256.375366317913,6,2024-02-20
서해,옥련동,59.885,"20,500",1995,1,2024,2,19,20500.0,59.885,1,1995,18.1152125,1131.6455713671592,29,2024-02-19
효정,연수동,84.95,"33,500",1993,14,2024,2,1,33500.0,84.95,14,1993,25.697375,1303.6350989157452,31,2024-02-01
솔밭마을아파트,연수동,49.56,"21,900",1993,10,2024,2,21,21900.0,49.56,10,1993,14.991900000000001,1460.7888259660215,31,2024-02-21
글로벌캠퍼스푸르지오,송도동,94.99,"70,000",2013,15,2024,2,14,70000.0,94.99,15,2013,28.734474999999996,2436.0981016705546,11,2024-02-14
송도자이하버뷰1단지,송도동,118.602,"109,000",2011,24,2024,2,5,109000.0,118.602,24,2011,35.877105,3038.149259813466,13,2024-02-05
한양2,동춘동,84.97,"39,000",1994,5,2024,2,17,39000.0,84.97,5,1994,25.703425,1517.3075183560168,30,2024-02-17
연수대우.삼환,동춘동,90.18,"41,600",1994,4,2024,2,17,41600.0,90.18,4,1994,27.27945,1524.9574313265114,30,2024-02-17
더샵송도마리나베이,송도동,84.9766,"71,000",2020,7,2024,2,16,71000.0,84.9766,7,2020,25.7054215,2762.063248019489,4,2024-02-16
한양1,동춘동,88.86,"36,700",1994,23,2024,2,17,36700.0,88.86,23,1994,26.88015,1365.3197619804948,30,2024-02-17
우성1,연수동,101.97,"46,000",1994,9,2024,2,5,46000.0,101.97,9,1994,30.845924999999998,1491.2828842059366,30,2024-02-05
동춘마을,동춘동,59.3,"26,500",1994,2,2024,2,19,26500.0,59.3,2,1994,17.93825,1477.2901481471158,30,2024-02-19
대동,선학동,84.4,"25,900",1992,9,2024,2,16,25900.0,84.4,9,1992,25.531000000000002,1014.453017899808,32,2024-02-16
송도푸르지오월드마크1단지,송도동,138.274,"75,500",2010,18,2024,2,2,75500.0,138.274,18,2010,41.827885,1805.0159600467487,14,2024-02-02
래미안,동춘동,95.76,"37,000",1993,15,2024,2,4,37000.0,95.76,15,1993,28.9674,1277.2979280156312,31,2024-02-04
랜드마크시티센트럴더샵,송도동,84.9999,"67,300",2020,8,2024,2,9,67300.0,84.9999,8,2020,25.712469749999997,2617.407065690374,4,2024-02-09
현대4,옥련동,59.985,"27,500",1997,11,2024,2,19,27500.0,59.985,11,1997,18.1454625,1515.530397750953,27,2024-02-19
연수대우.삼환,동춘동,90.18,"40,000",1994,17,2024,2,17,40000.0,90.18,17,1994,27.27945,1466.3052224293378,30,2024-02-17
영남,연수동,84.94,"26,660",1992,5,2024,2,8,26660.0,84.94,5,1992,25.69435,1037.5821921940037,32,2024-02-08
송도오션파크베르디움,송도동,84.9128,"64,000",2020,33,2024,2,7,64000.0,84.9128,33,2020,25.686122,2491.6178471783323,4,2024-02-07
아주1,옥련동,29.7,"13,100",1997,5,2024,2,17,13100.0,29.7,5,1997,8.98425,1458.1072432312103,27,2024-02-17
아주1,옥련동,29.7,"12,800",1997,13,2024,2,8,12800.0,29.7,13,1997,8.98425,1424.7154743022513,27,2024-02-08
현대4,옥련동,84.6,"31,200",1997,1,2024,2,15,31200.0,84.6,1,1997,25.591499999999996,1219.1547974913547,27,2024-02-15
송도오션파크베르디움,송도동,75.9833,"60,000",2020,24,2024,2,5,60000.0,75.9833,24,2020,22.98494825,2610.403962949971,4,2024-02-05
더샵그린워크1차,송도동,84.3408,"78,800",2014,21,2024,2,13,78800.0,84.3408,21,2014,25.513092,3088.610349541326,10,2024-02-13
우성,옥련동,59.929,"23,300",1996,2,2024,2,6,23300.0,59.929,2,1996,18.1285225,1285.2674562971142,28,2024-02-06
송도더샵센트럴시티,송도동,84.97,"81,000",2018,16,2024,2,3,81000.0,84.97,16,2018,25.703425,3151.3309996624967,6,2024-02-03
현대2차아파트,옥련동,59.985,"25,500",1995,3,2024,2,3,25500.0,59.985,3,1995,18.1454625,1405.3100051872473,29,2024-02-03
송도글로벌파크베르디움,송도동,63.9721,"67,500",2017,9,2024,2,14,67500.0,63.9721,9,2017,19.35156025,3488.0908375333715,7,2024-02-14
대동,동춘동,84.585,"26,000",1994,1,2024,2,19,26000.0,84.585,1,1994,25.5869625,1016.1424983524324,30,2024-02-19
송도더샵센트럴시티,송도동,72.99,"68,000",2018,41,2024,2,1,68000.0,72.99,41,2018,22.079475,3079.7833734724218,6,2024-02-01
송도더샵센트럴시티,송도동,84.97,"80,000",2018,16,2024,2,5,80000.0,84.97,16,2018,25.703425,3112.425678679009,6,2024-02-05
서해,청학동,84.89,"34,600",1993,2,2024,2,1,34600.0,84.89,2,1993,25.679225,1347.3926880581482,31,2024-02-01
서해,청학동,84.89,"34,200",1993,3,2024,2,4,34200.0,84.89,3,1993,25.679225,1331.8158939765513,31,2024-02-04
무지개마을,동춘동,84.965,"37,900",1995,11,2024,2,7,37900.0,84.965,11,1995,25.7019125,1474.5984369840182,29,2024-02-07
랜드마크시티센트럴더샵,송도동,84.9999,"65,500",2020,16,2024,2,3,65500.0,84.9999,16,2020,25.712469749999997,2547.402121882905,4,2024-02-03
시대,청학동,49.585,"21,800",1994,11,2024,2,6,21800.0,49.585,11,1994,14.9994625,1453.3854129772983,30,2024-02-06
더샵퍼스트월드,송도동,147.358,"131,000",2009,58,2024,2,3,131000.0,147.358,58,2009,44.575795,2938.8146638775597,15,2024-02-03
우성2,연수동,59.59,"33,000",1994,10,2024,2,6,33000.0,59.59,10,1994,18.025975,1830.6915437306443,30,2024-02-06
더샵그린워크1차,송도동,84.3408,"76,700",2014,23,2024,2,1,76700.0,84.3408,23,2014,25.513092,3006.2996676373054,10,2024-02-01
유천,연수동,60.07,"24,200",1993,3,2024,2,13,24200.0,60.07,3,1993,18.171174999999998,1331.779590477776,31,2024-02-13
동남,동춘동,52.14,"18,500",1994,1,2024,2,15,18500.0,52.14,1,1994,15.77235,1172.9387187071045,30,2024-02-15
동남,동춘동,52.14,"22,500",1994,9,2024,2,14,22500.0,52.14,9,1994,15.77235,1426.5470903194514,30,2024-02-14
송도더샵그린애비뉴8단지,송도동,112.1643,"96,000",2012,21,2024,2,16,96000.0,112.1643,21,2012,33.929700749999995,2829.3795075690437,12,2024-02-16
주공3,연수동,44.66,"17,600",1993,7,2024,2,12,17600.0,44.66,7,1993,13.509649999999999,1302.7724626470708,31,2024-02-12
대동,연수동,52.14,"22,000",1993,1,2024,2,16,22000.0,52.14,1,1993,15.77235,1394.846043867908,31,2024-02-16
영남송도,옥련동,56.16,"18,250",1984,2,2024,2,16,18250.0,56.16,2,1984,16.9884,1074.2624378988016,40,2024-02-16
송도더샵그린애비뉴8단지,송도동,112.1643,"105,000",2012,14,2024,2,1,105000.0,112.1643,14,2012,33.929700749999995,3094.6338364036415,12,2024-02-01
한양2,동춘동,84.97,"38,500",1994,5,2024,2,17,38500.0,84.97,5,1994,25.703425,1497.854857864273,30,2024-02-17
동남,동춘동,52.14,"21,000",1994,5,2024,2,16,21000.0,52.14,5,1994,15.77235,1331.4439509648214,30,2024-02-16
시대,청학동,49.585,"21,600",1994,7,2024,2,18,21600.0,49.585,7,1994,14.9994625,1440.0516018490662,30,2024-02-18
성호,청학동,84.02,"38,000",1993,1,2024,2,15,38000.0,84.02,1,1993,25.41605,1495.1182422130898,31,2024-02-15
송도SKVIEW,송도동,84.9753,"74,000",2019,3,2024,2,17,74000.0,84.9753,3,2019,25.70502825,2878.8141868702282,5,2024-02-17
동남,동춘동,52.14,"22,900",1994,8,2024,2,6,22900.0,52.14,8,1994,15.77235,1451.907927480686,30,2024-02-06
송도더샵퍼스트파크F15BL,송도동,84.9,"99,800",2017,4,2024,2,8,99800.0,84.9,4,2017,25.68225,3885.9523600930606,7,2024-02-08
송도더샵마스터뷰22BL,송도동,84.92,"80,000",2015,25,2024,2,14,80000.0,84.92,25,2015,25.688299999999998,3114.258242079079,9,2024-02-14
송도오션파크베르디움,송도동,84.795,"64,300",2020,11,2024,2,13,64300.0,84.795,11,2020,25.6504875,2506.774968701862,4,2024-02-13
풍림1,연수동,84.81,"34,500",1992,12,2024,2,13,34500.0,84.81,12,1992,25.655025,1344.7657914969875,32,2024-02-13
세경,연수동,51.75,"22,000",1997,14,2024,2,14,22000.0,51.75,14,1997,15.654375,1405.3579270970574,27,2024-02-14
우주,연수동,84.975,"26,500",1992,2,2024,2,3,26500.0,84.975,2,1992,25.704937499999996,1030.930341690191,32,2024-02-03
연수대우.삼환,동춘동,90.18,"42,000",1994,8,2024,2,5,42000.0,90.18,8,1994,27.27945,1539.6204835508047,30,2024-02-05
문남마을,연수동,49.24,"19,500",1994,4,2024,2,12,19500.0,49.24,4,1994,14.8951,1309.1553598163155,30,2024-02-12
한국,옥련동,84.566,"26,500",1997,3,2024,2,7,26500.0,84.566,3,1997,25.581215,1035.9163941196693,27,2024-02-07
더샵송도마리나베이,송도동,74.9894,"68,500",2020,32,2024,2,8,68500.0,74.9894,32,2020,22.6842935,3019.7105323117075,4,2024-02-08
연수대우.삼환,동춘동,102.0,"43,500",1994,7,2024,2,13,43500.0,102.0,7,1994,30.855,1409.8201263976664,30,2024-02-13
송도에듀포레푸르지오,송도동,84.852,"81,000",2016,29,2024,2,4,81000.0,84.852,29,2016,25.66773,3155.713419145363,8,2024-02-04
연수서해그랑블1단지,동춘동,84.98,"50,300",2017,9,2024,2,8,50300.0,84.98,9,2017,25.70645,1956.7073633271027,7,2024-02-08
청학국민,청학동,52.41,"13,800",1984,5,2024,2,2,13800.0,52.41,5,1984,15.854024999999998,870.4414178733792,40,2024-02-02
풍림,옥련동,44.4,"16,000",1998,8,2024,2,2,16000.0,44.4,8,1998,13.431,1191.273918546646,26,2024-02-02
송도파크자이,동춘동,84.8904,"54,000",2019,20,2024,2,7,54000.0,84.8904,20,2019,25.679346,2102.8572923936617,5,2024-02-07
더샵송도프라임뷰25BL,송도동,121.18,"120,000",2021,14,2024,2,1,120000.0,121.18,14,2021,36.65695,3273.5947753427386,3,2024-02-01
연수주공2차,연수동,41.3,"16,700",1992,10,2024,2,13,16700.0,41.3,10,1992,12.493249999999998,1336.7218297880859,32,2024-02-13
동남,동춘동,52.14,"21,900",1994,7,2024,2,15,21900.0,52.14,7,1994,15.77235,1388.5058345775994,30,2024-02-15
세경,연수동,51.75,"22,000",1997,11,2024,2,5,22000.0,51.75,11,1997,15.654375,1405.3579270970574,27,2024-02-05
동남,연수동,91.74,"29,500",1994,2,2024,2,3,29500.0,91.74,2,1994,27.75135,1063.0113489974362,30,2024-02-03
성일,연수동,39.74,"15,200",1994,11,2024,2,3,15200.0,39.74,11,1994,12.02135,1264.4170579843362,30,2024-02-03
성일,연수동,39.74,"16,000",1994,5,2024,2,14,16000.0,39.74,5,1994,12.02135,1330.9653241940382,30,2024-02-14
성지리벨루스,송도동,84.914,"51,900",2006,1,2024,2,1,51900.0,84.914,1,2006,25.686485,2020.5177936957898,18,2024-02-01
송도더샵퍼스트파크F14BL,송도동,68.96,"56,000",2017,32,2024,2,13,56000.0,68.96,32,2017,20.8604,2684.5122816436888,7,2024-02-13
연수대우.삼환,동춘동,90.18,"42,000",1994,12,2024,2,3,42000.0,90.18,12,1994,27.27945,1539.6204835508047,30,2024-02-03
연수대우.삼환,동춘동,102.0,"45,000",1994,11,2024,2,6,45000.0,102.0,11,1994,30.855,1458.4346135148273,30,2024-02-06
e편한세상송도,송도동,70.2331,"52,300",2018,4,2024,2,3,52300.0,70.2331,4,2018,21.245512749999996,2461.696293962122,6,2024-02-03
연수서해그랑블1단지,동춘동,70.75,"44,000",2017,6,2024,2,7,44000.0,70.75,6,2017,21.401875,2055.894635399936,7,2024-02-07
e편한세상송도,송도동,70.5618,"53,000",2018,3,2024,2,7,53000.0,70.5618,3,2018,21.3449445,2483.023556233655,6,2024-02-07
송도파크레인동일하이빌,동춘동,66.947,"43,000",2019,29,2024,2,13,43000.0,66.947,29,2019,20.2514675,2123.302916196073,5,2024-02-13
동춘마을,동춘동,59.3,"25,700",1994,4,2024,2,12,25700.0,59.3,4,1994,17.93825,1432.6927097124858,30,2024-02-12
아주,동춘동,84.78,"29,000",1994,1,2024,2,7,29000.0,84.78,1,1994,25.64595,1130.7828331568924,30,2024-02-07
"승기마을,연수1차시영",연수동,26.82,"12,000",1992,14,2024,2,8,12000.0,26.82,14,1992,8.11305,1479.0984894706678,32,2024-02-08
송도글로벌파크베르디움,송도동,63.9721,"69,000",2017,11,2024,2,3,69000.0,63.9721,11,2017,19.35156025,3565.6039672563356,7,2024-02-03
글로벌캠퍼스푸르지오,송도동,84.98,"73,000",2013,24,2024,2,6,73000.0,84.98,24,2013,25.70645,2839.7542251069285,11,2024-02-06
우성2,연수동,84.78,"41,000",1994,11,2024,2,5,41000.0,84.78,11,1994,25.64595,1598.6929710149166,30,2024-02-05
우성,옥련동,84.692,"31,500",1996,8,2024,2,2,31500.0,84.692,8,1996,25.619329999999998,1229.5403509771725,28,2024-02-02
연수서해그랑블1단지,동춘동,70.75,"42,700",2017,4,2024,2,3,42700.0,70.75,4,2017,21.401875,1995.152293899483,7,2024-02-03
송도풍림아이원1단지,송도동,84.7167,"55,000",2005,4,2024,2,3,55000.0,84.7167,4,2005,25.62680175,2146.1905600452073,19,2024-02-03
송도풍림아이원1단지,송도동,84.7167,"58,000",2005,9,2024,2,5,58000.0,84.7167,9,2005,25.62680175,2263.255499684037,19,2024-02-05
더샵퍼스트월드,송도동,101.748,"92,000",2009,55,2024,2,3,92000.0,101.748,55,2009,30.77877,2989.0733125462775,15,2024-02-03
송도SKVIEW,송도동,84.9753,"76,000",2019,37,2024,2,3,76000.0,84.9753,37,2019,25.70502825,2956.619975704559,5,2024-02-03
한화포레나인천연수,선학동,84.7127,"52,300",2023,19,2024,2,2,52300.0,84.7127,19,2023,25.625591749999998,2040.9284792418503,1,2024-02-02
송도SKVIEW,송도동,84.9753,"66,000",2019,21,2024,2,8,66000.0,84.9753,21,2019,25.70502825,2567.591031532906,5,2024-02-08
힐스테이트레이크송도2차,송도동,84.96,"71,500",2020,20,2024,2,2,71500.0,84.96,20,2020,25.7004,2782.0578668036296,4,2024-02-02
글로벌캠퍼스푸르지오,송도동,94.99,"73,000",2013,21,2024,2,2,73000.0,94.99,21,2013,28.734474999999996,2540.502306027864,11,2024-02-02
힐스테이트레이크송도1차,송도동,84.97,"69,300",2019,10,2024,2,1,69300.0,84.97,10,2019,25.703425,2696.1387441556913,5,2024-02-01
e편한세상송도,송도동,70.5618,"53,000",2018,3,2024,2,7,53000.0,70.5618,3,2018,21.3449445,2483.023556233655,6,2024-02-07
e편한세상송도,송도동,70.5618,"55,500",2018,35,2024,2,3,55500.0,70.5618,35,2018,21.3449445,2600.1473088861862,6,2024-02-03
송도SKVIEW,송도동,84.9753,"77,000",2019,38,2024,2,2,77000.0,84.9753,38,2019,25.70502825,2995.522870121724,5,2024-02-02
송도코오롱더프라우1단지,송도동,134.967,"75,000",2009,5,2024,2,1,75000.0,134.967,5,2009,40.827517500000006,1836.9963346412133,15,2024-02-01
송도파크자이,동춘동,76.9835,"48,500",2019,16,2024,2,4,48500.0,76.9835,16,2019,23.28750875,2082.661589982226,5,2024-02-04
송도더샵센트럴시티,송도동,59.99,"60,000",2018,11,2024,2,3,60000.0,59.99,11,2018,18.146975,3306.3361799969416,6,2024-02-03
현대1,동춘동,84.97,"44,000",1993,1,2024,2,2,44000.0,84.97,1,1993,25.703425,1711.834123273455,31,2024-02-02
희영무지개2,선학동,84.98,"31,000",1995,11,2024,2,6,31000.0,84.98,11,1995,25.70645,1205.9230271002025,29,2024-02-06
연수서해그랑블1단지,동춘동,84.98,"52,000",2017,13,2024,2,1,52000.0,84.98,13,2017,25.70645,2022.8386261035655,7,2024-02-01
뉴서울,선학동,84.53,"30,700",1992,10,2024,2,1,30700.0,84.53,10,1992,25.570325,1200.610473273218,32,2024-02-01
더샵그린워크1차,송도동,84.3408,"74,500",2014,9,2024,2,3,74500.0,84.3408,9,2014,25.513092,2920.069429452142,10,2024-02-03
유천,연수동,84.87,"31,000",1993,10,2024,2,2,31000.0,84.87,10,1993,25.673175,1207.4860238361637,31,2024-02-02
연수대우.삼환,동춘동,90.18,"40,500",1994,2,2024,2,4,40500.0,90.18,2,1994,27.27945,1484.6340377097044,30,2024-02-04
동춘마을,동춘동,59.36,"24,900",1994,1,2024,2,1,24900.0,59.36,1,1994,17.9564,1386.692210019826,30,2024-02-01
솔밭마을아파트,연수동,49.56,"21,000",1993,12,2024,2,1,21000.0,49.56,12,1993,14.991900000000001,1400.7564084605685,31,2024-02-01
"승기마을,연수1차시영",연수동,50.67,"19,500",1992,1,2024,2,1,19500.0,50.67,1,1992,15.327675,1272.2086030660228,32,2024-02-01
송도웰카운티1단지,송도동,134.99,"51,100",2008,10,2024,2,1,51100.0,134.99,10,2008,40.834475000000005,1251.3935834855229,16,2024-02-01
서해,청학동,84.89,"34,300",1993,8,2024,2,1,34300.0,84.89,8,1993,25.679225,1335.7100924969504,31,2024-02-01
e편한세상송도,송도동,70.5618,"55,000",2018,7,2024,2,1,55000.0,70.5618,7,2018,21.3449445,2576.72255835568,6,2024-02-01
대림,동춘동,101.7,"45,000",1993,5,2024,2,1,45000.0,101.7,5,1993,30.76425,1462.736780516346,31,2024-02-01
송도풍림아이원3단지,송도동,84.94,"55,700",2005,5,2024,3,30,55700.0,84.94,5,2005,25.69435,2167.791751883196,19,2024-03-30
e편한세상송도,송도동,70.5618,"58,500",2018,31,2024,3,21,58500.0,70.5618,31,2018,21.3449445,2740.6958120692234,6,2024-03-21
