아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일,거래금액_숫자,전용면적_숫자,층_숫자,건축년도_숫자,평수,평당가격,건물연령,거래일자
랜드마크시티센트럴더샵,송도동,84.9999,"70,800",2020,37,2024,1,9,70800.0,84.9999,37,2020,25.712469749999997,2753.527789760453,4,2024-01-09
서해,옥련동,59.885,"23,500",1995,16,2024,1,20,23500.0,59.885,16,1995,18.1152125,1297.252240347719,29,2024-01-20
e편한세상송도,송도동,70.5618,"57,000",2018,25,2024,1,10,57000.0,70.5618,25,2018,21.3449445,2670.4215604777046,6,2024-01-10
아이파크송도,송도동,84.4945,"65,000",2005,7,2024,1,18,65000.0,84.4945,7,2005,25.55958625,2543.0771595530036,19,2024-01-18
연수서해그랑블1단지,동춘동,70.77,"43,500",2017,11,2024,1,18,43500.0,70.77,11,2017,21.407925,2031.9577913319486,7,2024-01-18
솔밭마을아파트,연수동,49.56,"21,900",1993,14,2024,1,18,21900.0,49.56,14,1993,14.991900000000001,1460.7888259660215,31,2024-01-18
연수푸르지오3단지,연수동,110.01,"41,000",2011,17,2024,1,13,41000.0,110.01,17,2011,33.278025,1232.0442694540918,13,2024-01-13
용담마을,청학동,49.995,"20,000",1994,4,2024,1,12,20000.0,49.995,4,1994,15.1234875,1322.4462942161986,30,2024-01-12
송도파크자이,동춘동,76.7563,"48,000",2019,2,2024,1,15,48000.0,76.7563,2,2019,23.218780749999997,2067.292013169124,5,2024-01-15
솔밭마을아파트,연수동,49.56,"20,700",1993,9,2024,1,13,20700.0,49.56,9,1993,14.991900000000001,1380.7456026254176,31,2024-01-13
서해그랑블포레스트,동춘동,59.8632,"39,000",2019,4,2024,1,19,39000.0,59.8632,4,2019,18.108618,2153.670699773997,5,2024-01-19
송도오션파크베르디움,송도동,84.9128,"64,000",2020,27,2024,1,9,64000.0,84.9128,27,2020,25.686122,2491.6178471783323,4,2024-01-09
더샵송도마리나베이,송도동,84.9766,"83,000",2020,15,2024,1,17,83000.0,84.9766,15,2020,25.7054215,3228.8908392340504,4,2024-01-17
현대1,동춘동,84.97,"46,000",1993,1,2024,1,18,46000.0,84.97,1,1993,25.703425,1789.6447652404302,31,2024-01-18
"승기마을,연수1차시영",연수동,26.82,"12,000",1992,3,2024,1,4,12000.0,26.82,3,1992,8.11305,1479.0984894706678,32,2024-01-04
롯데캐슬,송도동,110.253,"77,500",2012,5,2024,1,13,77500.0,110.253,5,2012,33.3515325,2323.731300803044,12,2024-01-13
동남,동춘동,52.14,"21,600",1994,10,2024,1,9,21600.0,52.14,10,1994,15.77235,1369.4852067066734,30,2024-01-09
송도파크레인동일하이빌,동춘동,84.9044,"50,700",2019,11,2024,1,8,50700.0,84.9044,11,2019,25.683580999999997,1974.0237936446638,5,2024-01-08
우성1,연수동,101.97,"42,500",1994,5,2024,1,7,42500.0,101.97,5,1994,30.845924999999998,1377.8157082337457,30,2024-01-07
하나타운1,청학동,59.79,"25,200",1995,2,2024,1,13,25200.0,59.79,2,1995,18.086475,1393.3063242008186,29,2024-01-13
송도웰카운티1단지,송도동,134.99,"73,000",2008,5,2024,1,12,73000.0,134.99,5,2008,40.834475000000005,1787.7051192650326,16,2024-01-12
e편한세상송도,송도동,70.5618,"58,000",2018,34,2024,1,3,58000.0,70.5618,34,2018,21.3449445,2717.271061538717,6,2024-01-03
현대1,옥련동,59.4,"19,600",1994,9,2024,1,18,19600.0,59.4,9,1994,17.9685,1090.797785012661,30,2024-01-18
성호,청학동,84.02,"38,000",1993,10,2024,1,14,38000.0,84.02,10,1993,25.41605,1495.1182422130898,31,2024-01-14
용담마을,청학동,49.995,"19,000",1994,5,2024,1,6,19000.0,49.995,5,1994,15.1234875,1256.3239795053887,30,2024-01-06
우성1,연수동,133.623,"53,700",1994,20,2024,1,4,53700.0,133.623,20,1994,40.42095749999999,1328.5187516896403,30,2024-01-04
e편한세상송도,송도동,70.5618,"50,000",2018,17,2024,1,17,50000.0,70.5618,17,2018,21.3449445,2342.475053050618,6,2024-01-17
대림3,동춘동,53.01,"20,000",1993,3,2024,1,15,20000.0,53.01,3,1993,16.035525,1247.230757957722,31,2024-01-15
인천연수서해그랑블3단지,동춘동,59.9628,"37,500",2019,3,2024,1,4,37500.0,59.9628,3,2019,18.138747,2067.397488922471,5,2024-01-04
베르디움더퍼스트,송도동,63.9487,"56,000",2017,11,2024,1,14,56000.0,63.9487,11,2017,19.34448175,2894.882412654968,7,2024-01-14
우성2,연수동,40.5,"20,000",1994,17,2024,1,8,20000.0,40.5,17,1994,12.251249999999999,1632.4864809713297,30,2024-01-08
동춘마을,동춘동,59.36,"25,600",1994,2,2024,1,7,25600.0,59.36,2,1994,17.9564,1425.6755251609454,30,2024-01-07
삼용,청학동,84.96,"38,800",1994,11,2024,1,3,38800.0,84.96,11,1994,25.7004,1509.704129118613,30,2024-01-03
송도푸르지오월드마크7단지,송도동,156.854,"89,000",2010,13,2024,1,14,89000.0,156.854,13,2010,47.448335,1875.7244063463977,14,2024-01-14
송도더샵센트럴시티,송도동,59.97,"60,000",2018,33,2024,1,6,60000.0,59.97,33,2018,18.140925,3307.4388433886365,6,2024-01-06
베르디움더퍼스트,송도동,84.993,"69,000",2017,6,2024,1,11,69000.0,84.993,6,2017,25.710382499999998,2683.740702807514,7,2024-01-11
"승기마을,연수1차시영",연수동,50.67,"19,000",1992,6,2024,1,10,19000.0,50.67,6,1992,15.327675,1239.5878696540735,32,2024-01-10
송도SKVIEW,송도동,84.6541,"71,500",2019,12,2024,1,11,71500.0,84.6541,12,2019,25.60786525,2792.11091209565,5,2024-01-11
동남,동춘동,52.14,"23,500",1994,11,2024,1,12,23500.0,52.14,11,1994,15.77235,1489.9491832225383,30,2024-01-12
송도풍림아이원1단지,송도동,84.7167,"54,000",2005,2,2024,1,10,54000.0,84.7167,2,2005,25.62680175,2107.168913498931,19,2024-01-10
e편한세상송도,송도동,70.5618,"57,500",2018,18,2024,1,7,57500.0,70.5618,18,2018,21.3449445,2693.8463110082107,6,2024-01-07
송도풍림아이원3단지,송도동,84.94,"57,500",2005,14,2024,1,13,57500.0,84.94,14,2005,25.69435,2237.846063434179,19,2024-01-13
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,6,62500.0,64.168,41,2018,19.41082,3219.853669242206,6,2024-01-06
